experiment,condition,mode,seed,step,phase_G0,phase_G1,phase_S,phase_G2,phase_M
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,4,0.6004,0.1784,0.1115,0.0836,0.026
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,5,0.6389,0.1537,0.1056,0.0852,0.0167
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,6,0.612,0.1858,0.1075,0.0747,0.02
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,7,0.5982,0.2054,0.1143,0.0661,0.0161
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,8,0.5782,0.2232,0.1195,0.0545,0.0246
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,9,0.5931,0.2017,0.1241,0.0603,0.0207
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,10,0.6319,0.1752,0.1186,0.0673,0.0071
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,11,0.5845,0.2042,0.132,0.0704,0.0088
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,12,0.5944,0.2045,0.1206,0.0664,0.014
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,13,0.591,0.1768,0.149,0.0589,0.0243
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,14,0.6027,0.1558,0.1661,0.0599,0.0154
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,15,0.6458,0.1038,0.161,0.0769,0.0125
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,16,0.5933,0.1545,0.1545,0.0853,0.0124
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,17,0.5954,0.1711,0.1248,0.0927,0.016
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,18,0.5961,0.1406,0.169,0.0783,0.016
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,19,0.5982,0.164,0.1225,0.0847,0.0306
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,20,0.6543,0.146,0.1035,0.0795,0.0166
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,21,0.6575,0.1538,0.0824,0.0842,0.022
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,22,0.6892,0.1517,0.064,0.0951,0.0
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,23,0.6897,0.0879,0.129,0.0598,0.0336
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,24,0.7249,0.0759,0.1101,0.074,0.0152
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,25,0.7495,0.0568,0.1252,0.0411,0.0274
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,26,0.7686,0.0471,0.1294,0.0412,0.0137
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,27,0.7809,0.0518,0.1135,0.0538,0.0
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,28,0.768,0.039,0.1376,0.0267,0.0287
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,29,0.8033,0.0373,0.0766,0.0828,0.0
treatment_anti_PD1_early,anti_PD1_early,deepseek,123,30,0.8061,0.0392,0.061,0.0784,0.0153
treatment_anti_PD1_early,anti_PD1_early,deepseek,42,1,0.6328,0.1387,0.127,0.0781,0.0234
treatment_anti_PD1_early,anti_PD1_early,deepseek,42,2,0.6279,0.1546,0.1183,0.0821,0.0172
treatment_anti_PD1_early,anti_PD1_early,deepseek,42,3,0.6041,0.1689,0.122,0.0769,0.0281
